CASEID,adp_010,cip_10,mshsd,msper,msvic,agegr10,luc_rst,prv,region,sex,discrim,dis_10,dis_15,dis_20,dis_25,dis_30,dis_35,dis_40,dis_45,dis_50,dis_55,dis_rind,dis_pl,dts_20,dts_25,dts_30,dts_35,dts_60,dts_65,eduf10,eduf5,edum10,edum5,edupr10,edupr5,eor_01a,eor_01b,eor_01c,eor_02,pcc_145,pcc_160,plp_110,plp_120,plp_130,plp_140,plp_150,plp_160,tip_10,tip_15,tip_20,tip_25,totvic
30907,6,2,994,994,994,5,1,"24",2,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7, 8,4,6,6,6,6,3,2,1,1,1,1,1,1,4,3, 3,1,0
30908,6,1,994,994,994,4,1,"35",3,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 9,5, 1,1,6,6,6,6,2,2,1,1,1,1,1,1,4,3, 4,3,0
30909,2,2,994,994,994,6,1,"12",1,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,10,5,96,6,6,6,6,6,2,2,2,1,1,2,2,2,5,5, 6,5,0
30910,2,1,994,994,994,6,1,"24",2,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5,96,6,6,6,6,6,2,1,2,2,1,2,1,1,5,5, 6,5,0
30911,2,2,994,994,994,1,1,"46",4,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 2,1, 3,2,96,6,1,2,2,1,2,2,2,2,2,1,1,1,5,3, 4,3,0
30912,6,1,994,994,994,6,1,"35",3,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 4,2, 8,4, 3,2,6,6,6,6,2,2,1,1,1,1,1,1,5,4, 4,3,0
30913,6,1,813,994,813,4,1,"13",1,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7,97,7,97,7,6,6,6,6,2,2,1,1,1,1,1,1,5,4, 3,1,1
30914,6,2,994,994,994,2,2,"13",1,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 2,1, 3,2, 3,2,6,6,6,6,3,1,1,3,1,2,2,1,5,4, 4,3,0
30915,6,1,994,994,994,5,3,"11",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5, 7,3,6,6,6,6,2,2,1,1,1,1,1,1,5,4, 6,3,0
30916,6,2,994,994,994,4,2,"10",1,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,97,7, 9,5, 9,5,6,6,6,6,3,2,2,1,1,1,1,1,5,5, 5,2,0
