CASEID,cip_10,agegr10,luc_rst,prv,region,sex,pcc_145,pcc_160,plp_110,plp_120,plp_130,plp_140,plp_150,plp_160,tip_10,tip_15,tip_20,tip_25
18022,1,4,1,"35",3,2,2,2,1,1,1,2,1,1,5,3, 5,1
18023,2,5,1,"12",1,2,3,1,2,2,1,2,3,2,5,4, 5,4
18024,2,4,1,"46",4,2,2,1,2,7,2,1,1,7,5,4, 4,3
18025,1,5,1,"13",1,1,1,1,1,1,1,1,1,1,5,4, 4,1
18026,2,4,2,"24",2,1,2,2,1,1,1,3,2,1,5,4, 4,2
18027,1,7,1,"24",2,1,2,2,1,1,2,7,7,1,5,5, 6,4
18028,2,4,1,"47",4,1,2,2,2,7,2,2,1,1,5,4, 4,3
18029,2,5,1,"35",3,1,2,2,2,1,7,1,1,1,5,4, 5,3
18030,2,1,1,"35",3,2,2,2,1,1,7,2,1,7,5,3, 4,3
18031,1,5,1,"24",2,1,2,2,1,1,1,1,1,1,5,5, 5,5
18032,1,6,2,"35",3,1,7,2,1,7,1,7,1,1,5,5, 6,1
18033,2,3,2,"35",3,2,2,2,2,7,2,7,2,2,8,8,98,8
18034,2,7,1,"35",3,2,2,2,1,1,7,1,1,1,5,7, 6,7
18035,1,3,2,"47",4,2,2,2,1,1,1,1,1,1,5,3, 5,2
18036,1,2,1,"35",3,2,2,2,7,7,1,7,7,7,5,4, 5,3
18037,1,6,1,"35",3,1,1,2,1,1,1,1,1,1,5,4, 6,3
18038,2,5,1,"24",2,1,2,1,1,1,1,1,1,2,5,4, 4,3
18039,2,3,1,"12",1,2,2,2,2,2,2,2,2,2,5,5, 6,4
18040,2,7,1,"24",2,1,2,2,1,1,2,1,2,1,5,4, 3,3
18041,2,5,1,"48",4,1,3,1,1,1,2,1,7,2,5,3, 4,1
18042,1,4,1,"46",4,1,2,2,1,7,1,2,1,1,5,4, 5,2
18043,2,2,1,"35",3,2,1,2,2,1,1,2,2,1,5,3, 4,3
18044,3,3,1,"59",5,1,4,1,2,3,3,3,3,2,5,5, 4,3
18045,2,4,1,"35",3,2,7,2,2,2,1,1,2,7,5,5, 5,2
18046,2,4,1,"24",2,1,2,2,2,2,2,2,2,2,5,5, 3,3
18047,3,2,1,"35",3,2,2,1,3,3,2,3,2,3,5,3, 6,4
18048,1,3,1,"48",4,1,7,2,1,1,1,2,1,1,5,5, 4,3
18049,2,3,1,"10",1,1,3,1,2,3,1,2,3,2,5,4, 3,2
18050,2,6,1,"46",4,1,3,1,2,2,1,7,3,1,5,4, 6,3
18051,2,1,1,"46",4,1,2,2,3,2,7,3,2,1,4,3, 4,3
18052,1,3,1,"46",4,1,4,2,1,2,1,1,1,1,5,5, 3,3
18053,2,6,2,"46",4,2,3,2,1,7,2,2,7,2,5,5, 6,2
18054,1,4,1,"35",3,2,2,2,1,1,1,1,1,1,5,4, 3,2
18055,1,5,1,"24",2,1,2,2,1,1,1,1,1,1,5,4, 4,1
18056,1,3,1,"10",1,2,2,2,1,7,1,2,2,2,5,4, 6,1
18057,3,1,2,"46",4,2,2,2,3,2,2,2,3,3,5,2, 3,1
18058,1,2,1,"24",2,1,1,2,2,2,1,1,1,1,5,3, 4,1
18059,1,3,1,"13",1,1,1,2,1,1,1,1,1,1,5,4, 4,3
18060,2,5,1,"35",3,1,2,1,2,7,2,2,1,2,5,4, 6,1
18061,2,7,2,"12",1,2,3,2,1,1,1,1,1,1,5,5, 6,5
18062,2,3,1,"59",5,2,2,2,2,7,1,7,1,2,5,3, 4,3
18063,2,5,2,"24",2,2,3,1,1,1,2,1,1,1,4,2, 6,1
18064,1,3,1,"12",1,2,3,2,1,1,1,1,1,1,5,4, 4,2
18065,2,6,1,"10",1,1,3,1,1,7,1,1,7,7,5,3, 6,1
