CASEID,discrim,dis_10,dis_15,dis_20,dis_25,dis_30,dis_35,dis_40,dis_45,dis_50,dis_55,dis_rind,dis_pl,dts_20,dts_25,dts_30,dts_35,dts_60,dts_65
  220,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  221,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2
  222,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  223,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  224,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  225,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  226,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  227,1,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2
  228,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  229,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  230,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  231,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2
  232,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  233,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  234,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  235,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  236,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  237,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  238,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  239,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  240,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  241,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  242,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  243,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  244,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  245,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
